,kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori,rad_main,rad_sub
743,喧,55a7,1-23-86,,,30,9.0,12,2249.0,,xuan1;hweon;훤;Huyên;ケン;やかま.しい;かまびす.しい,noisy;boisterous,,30,
745,堅,5805,1-23-88,,,32,8.0,12,1049.0,1.0,jian1;gyeon;견;Kiên;ケン;かた.い;-がた.い,strict;hard;solid;tough;tight;reliable,きん,32,
746,嫌,5acc,1-23-89,,,38,8.0,13,1207.0,1.0,xian2;hyeom;혐;Hiềm;ケン;ゲン;きら.う;きら.い;いや,dislike;detest;hate,,38,
748,憲,61b2,1-23-91,,,61;40,6.0,16,551.0,1.0,xian4;heon;헌;Hiến;ケン,constitution;law,かず;のり;よし,61,40
749,懸,61f8,1-23-92,,,61,8.0,20,889.0,1.0,xuan2;hyeon;현;Huyền;ケン;ケ;か.ける;か.かる,state of suspension;hang;depend;consult;distant;far apart,,61,
750,拳,62f3,1-23-93,,,64,8.0,10,1935.0,1.0,quan2;gweon;권;Quyền;ケン;ゲン;こぶし,fist,,64,
751,捲,6372,1-23-94,,,64,9.0,11,,,juan3;gweon;권;Quyển;Quyền;ケン;ま.く;ま.くる;まく.る;めく.る;まく.れる,roll;wind;coil;turn pages;roll up sleeves;strip off;be turned;be rolled up,,64,
752,検,691c,1-24-01,,,75,5.0,12,290.0,2.0,jian3;geom;검;Kiểm;ケン;しら.べる,examination;investigate,,75,
753,権,6a29,1-24-02,,,75,6.0,15,156.0,2.0,quan2;gweon;권;Quyền;ケン;ゴン;おもり;かり;はか.る,authority;power;rights,,75,
759,絹,7d79,1-24-08,,,120,6.0,13,1916.0,1.0,juan4;gyeon;견;Quyên;ケン;きぬ,silk,,120,
761,肩,80a9,1-24-10,,,130;63,8.0,8,1215.0,2.0,jian1;gyeon;견;Kiên;ケン;かた,shoulder,,130,63
763,謙,8b19,1-24-12,,,149,8.0,17,1582.0,1.0,qian1;gyeom;겸;Khiêm;Khiệm;ケン;へりくだ.る,self-effacing;humble oneself;condescend;be modest,かね;ゆずる,149,
766,遣,9063,1-24-15,,,162,8.0,13,664.0,1.0,qian3;gyeon;견;Khiển;Khán;ケン;つか.う;-つか.い;-づか.い;つか.わす;や.る,dispatch;despatch;send;give;donate;do;undertake,,162,
767,鍵,9375,1-24-16,,,167,8.0,17,2029.0,,jian4;geon;건;Kiện;ケン;かぎ,key,,167,
777,減,6e1b,1-24-26,,,85,5.0,12,261.0,2.0,jian3;gam;감;Giảm;ゲン;へ.る;へ.らす,dwindle;decrease;reduce;decline;curtail;get hungry,,85,
778,源,6e90,1-24-27,,,85,6.0,13,738.0,1.0,yuan2;weon;원;Nguyên;ゲン;みなもと,source;origin,はら;みな;もと,85,
781,絃,7d43,1-24-30,,,120,9.0,11,,1.0,xian2;hyeon;현;Huyền;ゲン;いと,string;cord;samisen music,,120,
783,言,8a00,1-24-32,,,149,2.0,7,83.0,4.0,yan2;eon;언;Ngôn;Ngân;ゲン;ゴン;い.う;こと,say;word,とき,149,
784,諺,8afa,1-24-33,,,149,9.0,16,,,yan4;eon;an;언;안;Ngạn;ゲン;ことわざ,proverb,,149,
787,個,500b,1-24-36,,,9,5.0,10,451.0,2.0,ge4;ge5;gae;개;Cá;コ;カ,individual;counter for articles,,9,
788,古,53e4,1-24-37,,,30;24,2.0,5,509.0,4.0,gu3;go;고;Cổ;コ;ふる.い;ふる-;-ふる.す,old,ふゆ,30,24
789,呼,547c,1-24-38,,,30,6.0,8,498.0,2.0,hu1;ho;호;Hô;Há;コ;よ.ぶ,call;call out to;invite,よぶ,30,
791,姑,59d1,1-24-40,,,38,,8,2041.0,,gu1;go;고;Cô;コ;しゅうとめ;しゅうと;おば;しばらく,mother-in-law,,38,
798,枯,67af,1-24-47,,,75,8.0,9,1749.0,2.0,ku1;go;고;Khô;コ;か.れる;か.らす,wither;die;dry up;be seasoned,,75,
799,湖,6e56,1-24-48,,,85,3.0,12,1344.0,2.0,hu2;ho;호;Hồ;コ;みずうみ,lake,うみ;み,85,
803,股,80a1,1-24-52,,,130,8.0,8,2212.0,,gu3;go;고;Cổ;コ;また;もも,thigh;crotch,,130,
804,胡,80e1,1-24-53,,,130,9.0,9,1995.0,1.0,hu2;ho;호;Hồ;ウ;コ;ゴ;なんぞ,barbarian;foreign,えびす;くる,130,
805,菰,83f0,1-24-54,,,140,,12,,,gu1;go;고;Cô;コ;こも;まこも,reed used for matting,,140,
807,誇,8a87,1-24-56,,,149,8.0,13,1272.0,1.0,kua1;gwa;과;Khoa;コ;ほこ.る,boast;be proud;pride;triumphantly,,149,
809,鈷,9237,1-24-58,,,167,,13,,,gu1;gu3;go;고;Cô;Cổ;Cỗ;コ,cobalt,,167,
815,伍,4f0d,1-24-64,,,9,9.0,6,1881.0,1.0,wu3;o;오;Ngũ;ゴ;いつつ,five;five-man squad;file;line,くみ;あつむ,9,
817,呉,5449,1-24-66,,,30;12,8.0,7,1729.0,1.0,wu2;o;u;오;우;Ngô;ゴ;く.れる;くれ,give;do something for;kingdom of Wu,ぐ,30,12
818,吾,543e,1-24-67,,,30;1,9.0,7,1828.0,1.0,wu2;o;오;Ngô;ゴ;われ;わが-;あ-,I;my;our;one's own,あ;あが,30,1
819,娯,5a2f,1-24-68,,,38,8.0,10,1827.0,1.0,yu2;o;오;Ngu;ゴ,recreation;pleasure,,38,
822,悟,609f,1-24-71,,,61,8.0,10,1411.0,1.0,wu4;o;오;Ngộ;ゴ;さと.る,enlightenment;perceive;discern;realize;understand,,61,
823,梧,68a7,1-24-72,,,75,9.0,11,,1.0,wu2;o;오;Ngô;Ngộ;ゴ;あおぎり,Chinese parasol tree;phoenix tree,,75,
824,檎,6a8e,1-24-73,,,75,9.0,17,,,qin2;geum;금;Cầm;キン;ゴン;ゴ,apple,,75,
827,語,8a9e,1-24-76,,,149,2.0,14,301.0,4.0,yu3;yu4;eo;어;Ngữ;Ngứ;ゴ;かた.る;かた.らう,word;speech;language,,149,
828,誤,8aa4,1-24-77,,,149,6.0,14,1150.0,2.0,wu4;o;오;Ngộ;ゴ;あやま.る;-あやま.る,mistake;err;do wrong;mislead,,149,
829,護,8b77,1-24-78,,,149,5.0,20,351.0,1.0,hu4;ho;호;Hộ;ゴ;まも.る,safeguard;protect,もり,149,
834,佼,4f7c,1-24-83,,,9,,8,,,jiao3;jia3;gyo;교;Giảo;Giao;Kiểu;Thứ;キョウ;コウ;こう.す;うつく.しい,beautiful;clever;deceive;sly,,9,
835,侯,4faf,1-24-84,,,9,8.0,9,2363.0,1.0,hou2;hou4;hu;후;Hầu;コウ,marquis;lord;daimyo,,9,
836,候,5019,1-24-85,,,9,4.0,10,510.0,2.0,hou4;hu;후;Hậu;コウ;そうろう,climate;season;weather;wait for;expect,,9,
837,倖,5016,1-24-86,,,9,9.0,10,,1.0,xing4;haeng;행;Hãnh;コウ;しあわ.せ;さいわ.い,happiness;luck,,9,
844,口,53e3,1-24-93,,,30,1.0,3,284.0,4.0,kou3;gu;구;Khẩu;コウ;ク;くち,mouth,,30,
845,向,5411,1-24-94,,,30;2,3.0,6,182.0,2.0,xiang4;hyang;sang;향;상;Hướng;コウ;む.く;む.い;-む.き;む.ける;-む.け;む.かう;む.かい;む.こう;む.こう-;むこ;むか.い,yonder;facing;beyond;confront;defy;tend toward;approach,こお;た;な;むか;むかい;むこう,30,2
846,后,540e,1-25-01,,,30;4,6.0,6,1583.0,1.0,hou4;hu;후;Hậu;コウ;ゴ;きさき,empress;queen;after;behind;back;later,,30,4
847,喉,5589,1-25-02,,,30,8.0,12,2390.0,,hou2;hu;후;Hầu;コウ;のど,throat;voice,,30,
848,坑,5751,1-25-03,,,32,8.0,7,2040.0,1.0,keng1;gaeng;갱;Kháng;Khanh;Ganh;コウ,pit;hole,,32,
849,垢,57a2,1-25-04,,,32,,9,,,gou4;gu;구;Cấu;コウ;ク;あか;はじ,dirt;grime;earwax,,32,
850,好,597d,1-25-05,,,38,4.0,6,423.0,3.0,hao3;hao4;ho;호;Hảo;Hiếu;コウ;この.む;す.く;よ.い;い.い,fond;pleasing;like something,こ;たか;とし;よし,38,
862,恒,6052,1-25-17,,,61,8.0,9,1314.0,1.0,heng2;hang;geung;항;긍;Hằng;Cắng;Căng;コウ;つね;つねに,constancy;always,のぶ;ひさ;ひさし,61,
863,慌,614c,1-25-18,,,61,8.0,12,1826.0,1.0,huang1;hwang;황;Hoảng;コウ;あわ.てる;あわ.ただしい,disconcerted;be confused;lose one's head,,61,
864,抗,6297,1-25-19,,,64,8.0,7,666.0,1.0,kang4;hang;항;Kháng;コウ;あらが.う,confront;resist;defy;oppose,,64,
865,拘,62d8,1-25-20,,,64,8.0,8,1336.0,1.0,ju1;gu;구;Câu;Cù;コウ;かか.わる,arrest;seize;concerned;adhere to;despite,,64,
866,控,63a7,1-25-21,,,64,8.0,11,1000.0,1.0,kong4;gong;gang;공;강;Khống;コウ;ひか.える;ひか.え,withdraw;draw in;hold back;refrain from;be moderate,,64,
871,杭,676d,1-25-26,,,75,9.0,8,2329.0,,hang2;hang;항;Hàng;コウ;くい,stake;post;picket,わたる,75,
872,校,6821,1-25-27,,,75,1.0,10,294.0,4.0,xiao4;jiao4;gyo;hyo;교;효;Giáo;Hiệu;Hào;コウ;キョウ,exam;school;printing;proof;correction,めん,75,
873,梗,6897,1-25-28,,,75,8.0,11,,,geng3;gyeong;경;Ngạnh;コウ;キョウ;ふさぐ;やまにれ;おおむね,for the most part;close up;flower stem,,75,
874,構,69cb,1-25-29,,,75,5.0,14,316.0,2.0,gou4;gu;구;Cấu;コウ;かま.える;かま.う,posture;stance;appearance;build;set up,とち,75,
875,江,6c5f,1-25-30,,,85,8.0,6,704.0,1.0,jiang1;gang;강;Giang;コウ;え,creek;inlet;bay,くん;とうみ;み;りえ,85,
876,洪,6d2a,1-25-31,,,85,8.0,9,1778.0,1.0,hong2;hong;홍;Hồng;コウ,deluge;flood;vast,ほん,85,
877,浩,6d69,1-25-32,,,85,9.0,10,1149.0,1.0,hao4;ho;호;Hạo;コウ;おおき.い;ひろ.い,wide expanse;abundance;vigorous,ひろ;ひろし;ゆたか;こお,85,
878,港,6e2f,1-25-33,,,85,3.0,12,495.0,2.0,gang3;hang;gang;항;강;Cảng;コウ;みなと,harbor,,85,
879,溝,6e9d,1-25-34,,,85,8.0,13,1736.0,1.0,gou1;gu;구;Câu;コウ;みぞ,gutter;ditch;sewer;drain;10**32,どぶ,85,
885,紅,7d05,1-25-40,,,120,6.0,9,1299.0,2.0,hong2;gong1;hong;gong;홍;공;Hồng;コウ;ク;べに;くれない;あか.い,crimson;deep red,くれ;もみ,120,
886,紘,7d18,1-25-41,,,120,9.0,10,1685.0,1.0,hong2;goeng;굉;Hoành;コウ;おおづな;つな;つなぐ,large,ひろ;ひろし,120,
887,絞,7d5e,1-25-42,,,120,8.0,12,1288.0,1.0,jiao3;jia3;gyo;교;Giảo;Hào;コウ;しぼ.る;し.める;し.まる,strangle;constrict;wring,,120,
888,綱,7db1,1-25-43,,,120,8.0,14,1053.0,1.0,gang1;gang;강;Cương;コウ;つな,hawser;class (genus);rope;cord;cable,,120,
891,肯,80af,1-25-46,,,130;77,8.0,8,1813.0,2.0,ken3;geung;긍;Khẳng;Khải;コウ;がえんじ.る,agreement;consent;comply with,,130,77
892,肱,80b1,1-25-47,,,130,,8,,,gong1;goeng;굉;Quăng;コウ;かいな;ひじ;まるい,ability;talent;elbow;arm,,130,
893,腔,8154,1-25-48,,,130,9.0,12,,,qiang1;gang;강;Khang;Xoang;コウ,body cavity,,130,
894,膏,818f,1-25-49,,,130;189,9.0,14,,,gao1;gao4;go;고;Cao;Cáo;コウ;あぶら,fat;grease;lard;paste;ointment;plaster,,130,189
896,荒,8352,1-25-51,,,140,8.0,9,1099.0,2.0,huang1;hwang;황;Hoang;コウ;あ.らす;あ.れる;あら.い;すさ.ぶ;すさ.む;あ.らし,laid waste;rough;rude;wild,ら,140,
899,講,8b1b,1-25-54,,,149,5.0,17,653.0,2.0,jiang3;gang;강;Giảng;コウ,lecture;club;association,,149,
904,鉱,9271,1-25-59,,,167,5.0,13,1376.0,2.0,kuang4;gwang;광;Khoáng;コウ;あらがね,mineral;ore,,167,
906,鋼,92fc,1-25-61,,,167,6.0,16,1246.0,1.0,gang1;gang4;gang;강;Cương;コウ;はがね,steel,,167,
915,号,53f7,1-25-70,,,30,3.0,5,585.0,2.0,hao4;hao2;ho;호;Hiệu;ゴウ;さけ.ぶ;よびな,nickname;number;item;title;pseudonym;name;call,,30,
916,合,5408,1-25-71,,,30;9,2.0,6,41.0,3.0,he2;hab;합;Hợp;Cáp;ゴウ;ガッ;カッ;あ.う;-あ.う;あ.い;あい-;-あ.い;-あい;あ.わす;あ.わせる;-あ.わせる,fit;suit;join;0.1,あう;あん;い;か;こう;ごお;に;ね;や;わい,30,9
917,壕,58d5,1-25-72,,,32,9.0,17,2273.0,,hao2;ho;호;Hào;コウ;ゴウ;ほり,trench;dugout;air raid shelter,,32,
918,拷,62f7,1-25-73,,,64,8.0,9,2057.0,1.0,kao3;go;고;Khảo;ゴウ,torture;beat,,64,
919,濠,6fe0,1-25-74,,,85,,17,,,hao2;ho;호;Hào;ゴウ;コウ;ほり,moat;ditch;canal;Australia,,85,
925,告,544a,1-25-80,,,30,5.0,7,188.0,2.0,gao4;gu4;go;gog;고;곡;Cáo;Cốc;Cáu;Kiếu;コク;つ.げる,revelation;tell;inform;announce,い,30,
932,漉,6f09,1-25-87,,,85,,14,,,lu4;rog;록;Lộc;ロク;こ.し;こ.す;す.く,manufacture paper;spread out thin;strain;percolate,,85,
933,腰,8170,1-25-88,,,130,8.0,13,1306.0,2.0,yao1;yo;요;Yêu;ヨウ;こし,loins;hips;waist;low wainscoting,うすぐ,130,
935,忽,5ffd,1-25-90,,,61,9.0,8,,,hu1;hol;홀;Hốt;コツ;たちま.ち;ゆるが.せ,in a moment;instantly;all of a sudden;neglect;disregard,ぬ,61,
936,惚,60da,1-25-91,,,61,9.0,11,2486.0,,hu1;hol;홀;Hốt;コツ;ほけ.る;ぼ.ける;ほ.れる,fall in love with;admire;grow senile,,61,
939,込,8fbc,1-25-94,,,162,8.0,5,675.0,2.0,ib;입;Liêu;-こ.む;こ.む;こ.み;-こ.み;こ.める,crowded;mixture;in bulk;included;(kokuji),こみ;ごめ,162,
942,今,4eca,1-26-03,,,9,2.0,4,49.0,4.0,jin1;geum;금;Kim;コン;キン;いま,now,な,9,
944,坤,5764,1-26-05,,,32,,8,,,kun1;gon;곤;Khôn;コン;つち;ひつじさる,divination sign;land;earth,,32,
945,墾,58be,1-26-06,,,32,8.0,16,,1.0,ken3;gan;간;Khẩn;コン;は.る;ひら.く,ground-breaking;open up farmland,,32,
946,婚,5a5a,1-26-07,,,38,8.0,11,767.0,2.0,hun1;hon;혼;Hôn;コン,marriage,,38,
947,恨,6068,1-26-08,,,61,8.0,9,1877.0,1.0,hen4;han;한;Hận;コン;うら.む;うら.めしい,regret;bear a grudge;resentment;malice;hatred,,61,
948,懇,61c7,1-26-09,,,61,8.0,17,1135.0,1.0,ken3;gan;간;Khẩn;コン;ねんご.ろ,sociable;kind;courteous;hospitable;cordial,,61,
951,根,6839,1-26-12,,,75,3.0,10,620.0,2.0,gen1;geun;근;Căn;コン;ね;-ね,root;radical;head (pimple),,75,
952,梱,68b1,1-26-13,,,75,,11,,,kun3;gon;곤;Khổn;Khốn;Ngôn;コン;こう.る;こうり;こり;しきみ,pack;tie up;bale,,75,
953,混,6df7,1-26-14,,,85,5.0,11,824.0,2.0,hun3;hun2;hun4;hon;gon;혼;곤;Hỗn;Cổn;コン;ま.じる;-ま.じり;ま.ざる;ま.ぜる;こ.む,mix;blend;confuse,,85,
955,紺,7d3a,1-26-16,,,120,8.0,11,1825.0,1.0,gan4;gam;감;Cám;コン,dark blue;navy,,120,
959,佐,4f50,1-26-20,,,9,4.0,7,474.0,1.0,zuo3;jwa;좌;Tá;サ,assistant;help,すけ,9,
961,唆,5506,1-26-22,,,30,8.0,10,1278.0,1.0,suo1;sa;사;Toa;サ;そそ.る;そそのか.す,tempt;seduce;instigate;promote,,30,
965,査,67fb,1-26-26,,,75,5.0,9,184.0,2.0,cha2;zha1;sa;사;Tra;サ,investigate,,75,
966,沙,6c99,1-26-27,,,85,8.0,7,1897.0,1.0,sha1;sha4;sa;사;Sa;Sá;サ;シャ;すな;よなげる,sand,,85,
969,詐,8a50,1-26-30,,,149,8.0,12,1511.0,1.0,zha4;sa;사;Trá;サ;いつわ.る,lie;falsehood;deceive;pretend,,149,
970,鎖,9396,1-26-31,,,167,8.0,18,1250.0,1.0,suo3;swae;쇄;Tỏa;サ;くさり;とざ.す,chain;irons;connection,,167,
972,坐,5750,1-26-33,,,32;1,9.0,7,2337.0,,zuo4;jwa;좌;Tọa;ザ;サ;すわ.る;おわす;そぞろに;まします,sit,,32,1
974,挫,632b,1-26-35,,,64,8.0,10,1869.0,,cuo4;jwa;좌;Tỏa;ザ;サ;くじ.く;くじ.ける,crush;break;sprain;discourage,,64,
975,債,50b5,1-26-36,,,9,8.0,13,728.0,1.0,zhai4;chae;채;Trái;サイ,bond;loan;debt,,9,
976,催,50ac,1-26-37,,,9,8.0,13,536.0,1.0,cui1;choe;최;Thôi;サイ;もよう.す;もよお.す,sponsor;hold (a meeting);give (a dinner),,9,
979,哉,54c9,1-26-40,,,30;24,9.0,9,,1.0,zai1;jae;재;Tai;サイ;かな;や,how;what;alas;question mark;exclamation mark,か;すけ;とし;ちか;はじめ,30,24
980,塞,585e,1-26-41,,,32;40,8.0,13,,,sai1;sai4;se4;sae;saeg;새;색;Tắc;Tái;ソク;サイ;ふさ.ぐ;とりで;み.ちる,close;shut;cover;block;obstruct,,32,40
981,妻,59bb,1-26-42,,,38,5.0,8,691.0,2.0,qi1;qi4;cheo;처;Thê;Thế;サイ;つま,wife;spouse,ずま;め,38,
984,才,624d,1-26-45,,,64;6,2.0,3,1497.0,2.0,cai2;jae;재;Tài;サイ,genius;years old;cubic shaku,,64,6
985,採,63a1,1-26-46,,,64,5.0,11,607.0,2.0,cai3;chae;채;Thải;Thái;サイ;と.る,pick;take;fetch;take up,,64,
986,栽,683d,1-26-47,,,75;24,8.0,10,1496.0,1.0,zai1;jae;재;Tài;Tải;サイ,plantation;planting,,75,24
988,済,6e08,1-26-49,,,85,6.0,11,168.0,2.0,ji4;je;제;Tế;Tề;サイ;セイ;す.む;-ず.み;-ずみ;す.まない;す.ます;-す.ます;すく.う;な.す;わたし;わた.る,"settle (debt, etc.);relieve (burden);finish;come to an end;excusable;need not",すむ;なり;わたる,85,
996,細,7d30,1-26-57,,,120,2.0,11,537.0,2.0,xi4;se;세;Tế;サイ;ほそ.い;ほそ.る;こま.か;こま.かい,dainty;get thin;taper;slender;narrow;detailed;precise,,120,
997,菜,83dc,1-26-58,,,140,4.0,11,1327.0,3.0,cai4;chae;채;Thái;サイ;な,vegetable;side dish;greens,よう,140,
1002,在,5728,1-26-63,,,32,5.0,6,211.0,2.0,zai4;jae;재;Tại;ザイ;あ.る,exist;outskirts;suburbs;located in,あり,32,
1003,材,6750,1-26-64,,,75,4.0,7,565.0,2.0,cai2;jae;재;Tài;ザイ,lumber;log;timber;wood;materials;ingredients;talent,き;さい,75,
1007,坂,5742,1-26-68,,,32,3.0,7,865.0,2.0,ban3;pan;판;Phản;ハン;さか,slope;incline;hill,か;ざ,32,
1009,堺,583a,1-26-70,,,32,9.0,12,1846.0,,jie4;gye;계;Giới;カイ;さかい,world,,32,
1010,榊,698a,1-26-71,,,75,9.0,13,2094.0,,sin;신;Thần;さかき,sacred Shinto tree;(kokuji),,75,
1011,肴,80b4,1-26-72,,,130,9.0,8,,,yao2;hyo;효;Hào;コウ;さかな,accompaniment for drinks,,130,
1012,咲,54b2,1-26-73,,,30,8.0,9,1534.0,2.0,xiao4;so;소;Tiếu;ショウ;さ.く;-ざき,blossom;bloom,さ;さき,30,
1014,埼,57fc,1-26-75,,,32,4.0,11,971.0,,qi2;gi;기;Kì;Kỳ;キ;さき;さい;みさき,cape;spit;promontory,,32,
1017,作,4f5c,1-26-78,,,9,2.0,7,103.0,3.0,zuo1;zuo4;zuo2;jag;ja;ju;작;자;주;Tác;サク;サ;つく.る;つく.り;-づく.り,make;production;prepare;build,くり;さか;さっ;づくり;とも;なお;はぎ;まさか,9,
1019,咋,548b,1-26-80,,,30,,8,,,za3;ze2;zha1;zha4;sa;chaeg;saeg;사;책;색;Trách;Trá;サク;サ;か.む;く.う;くら.う,shout;chew;eat,くい,30,
1020,搾,643e,1-26-81,,,64,8.0,13,2046.0,1.0,zha4;chag;착;Trá;サク;しぼ.る,squeeze,,64,
1023,柵,67f5,1-26-84,,,75,8.0,9,,,zha4;chaeg;책;Sách;サク;サン;しがら.む;しがらみ;とりで;やらい,stockade;fence;weir;entwine around,ませ;やな,75,
1025,策,7b56,1-26-86,,,118,6.0,12,209.0,1.0,ce4;chaeg;책;Sách;サク,scheme;plan;policy;step;means,,118,
1026,索,7d22,1-26-87,,,120;24,8.0,10,1127.0,1.0,suo3;sag;saeg;삭;색;Tác;Sách;サク,cord;rope;searching;inquiring,,120,24
1027,錯,932f,1-26-88,,,167,8.0,16,1740.0,1.0,cuo4;cu4;chag;jo;착;조;Thác;サク;シャク,confused;mix;be in disorder,,167,
1028,桜,685c,1-26-89,,,75,5.0,10,1237.0,1.0,ying1;aeng;앵;Tí;Tý;オウ;ヨウ;さくら,cherry,さ;ろう,75,
1030,笹,7b39,1-26-91,,,118,9.0,11,1743.0,1.0,se;세;Thế;ささ,bamboo grass;(kokuji),さ;さき;しの;じね,118,
1035,拶,62f6,1-27-02,,,64,8.0,9,,,zan3;za1;chal;찰;Tạt;サツ;せま.る,be imminent;draw close,,64,
1036,撮,64ae,1-27-03,,,64,8.0,15,1023.0,1.0,cuo1;zuo3;cuo4;chwal;촬;Toát;サツ;と.る;つま.む;-ど.り,snapshot;take pictures,,64,
1037,擦,64e6,1-27-04,,,64,8.0,17,1485.0,1.0,ca1;chal;찰;Sát;サツ;す.る;す.れる;-ず.れ;こす.る;こす.れる,grate;rub;scratch;scrape;chafe;scour,,64,
1038,札,672d,1-27-05,,,75,4.0,5,921.0,2.0,zha2;chal;찰;Trát;サツ;ふだ,tag;paper money;counter for bonds;placard;bid,さっ,75,
1040,薩,85a9,1-27-07,,,140,9.0,17,1984.0,,sa4;sal;살;Tát;サツ;サチ,salvation;Buddha,さっ,140,
1044,捌,634c,1-27-11,,,64,,10,,,ba1;pal;팔;Bát;ハツ;ハチ;ベツ;さば.く;さば.ける;は.け,handle;deal with;dispose of;sell;be in demand;be worldly;be frank;be sensible;be sociable;drainage;sale;demand for;eight,,64,
1045,錆,9306,1-27-12,,,167,9.0,16,,,qiang1;chang;cheong;창;청;Sanh;Thương;Thanh;Xanh;ショウ;セイ;さび;くわ.しい,rust;tarnish,,167,
1050,傘,5098,1-27-17,,,9,8.0,12,1694.0,1.0,san3;san;산;Tản;サン;かさ,umbrella,,9,
1053,惨,60e8,1-27-20,,,61,8.0,11,1463.0,1.0,can3;can4;cham;chim;참;침;Thảm;Thom;サン;ザン;みじ.め;いた.む;むご.い,wretched;disaster;cruelty;harsh,,61,
1054,撒,6492,1-27-21,,,64,9.0,15,,,sa3;sa1;sal;살;Tát;Tản;サン;サツ;ま.く,scatter;sprinkle;give them the slip,,64,
1056,桟,685f,1-27-23,,,75,8.0,10,2093.0,1.0,zhan4;jan;잔;San;サン;セン;かけはし,scaffold;cleat;frame;jetty;bolt (door),さ,75,
1060,算,7b97,1-27-27,,,118,2.0,14,361.0,2.0,suan4;san;산;Toán;サン;そろ,calculate;divining;number;abacus;probability,,118,
1061,纂,7e82,1-27-28,,,120;118,9.0,20,,,zuan3;chan;찬;Toản;サン;あつ.める,editing;compiling,,120,118
1062,蚕,8695,1-27-29,,,142;1,6.0,10,2272.0,1.0,tian3;can2;cheon;jam;천;잠;Tàm;サン;テン;かいこ;こ,silkworm,,142,1
1063,讃,8b83,1-27-30,,,149,9.0,22,2179.0,,zan4;chan;찬;Tán;サン;ほ.める;たた.える,praise;title on a picture,さぬ,149,
1070,仕,4ed5,1-27-37,,,9,3.0,5,439.0,3.0,shi4;sa;사;Sĩ;シ;ジ;つか.える,attend;doing;official;serve,,9,
1071,仔,4ed4,1-27-38,,,9,9.0,5,,,zi3;zai3;ja;자;Tử;Tể;シ;こ;た.える,offspring (animal);detailed;fine,,9,
1072,伺,4f3a,1-27-39,,,9,8.0,7,2209.0,2.0,si4;ci4;sa;사;Tý;Tứ;シ;うかが.う,pay respects;visit;ask;inquire;question;implore,,9,
1073,使,4f7f,1-27-40,,,9,3.0,8,219.0,3.0,shi3;shi4;sa;사;Sử;Sứ;シ;つか.う;つか.い;-つか.い;-づか.い,use;send on a mission;order;messenger;envoy;ambassador;cause,,9,
1075,司,53f8,1-27-42,,,30,4.0,5,759.0,2.0,si1;sa;사;Ti;Tư;シ;つかさど.る,director;official;govt office;rule;administer,つ;つか;つかさ,30,
1076,史,53f2,1-27-43,,,30;2,5.0,5,511.0,2.0,shi3;sa;사;Sử;シ,history;chronicle,あきら;あや;お;こ;ちか;とし;なか;のぶ;ひさ;ひと;ふみ,30,2
1077,嗣,55e3,1-27-44,,,30,8.0,13,2310.0,1.0,si4;sa;사;Tự;シ,heir;succeed,あき;つかさ;つぎ;つぐ;ひで,30,
1080,始,59cb,1-27-47,,,38,3.0,8,244.0,3.0,shi3;si;시;Thủy;Thí;シ;はじ.める;-はじ.める;はじ.まる,commence;begin,もと,38,
1081,姉,59c9,1-27-48,,,38,2.0,8,1473.0,3.0,zi3;ja;자;Tỉ;Tỷ;Chị;シ;あね;はは,elder sister,,38,
1082,姿,59ff,1-27-49,,,38,6.0,9,441.0,1.0,zi1;ja;자;Tư;シ;すがた,figure;form;shape,しな,38,
1087,志,5fd7,1-27-54,,,61;32,5.0,7,823.0,2.0,zhi4;ji;지;Chí;シ;シリング;こころざ.す;こころざし,intention;plan;resolve;aspire;motive;hopes;shilling,じん;べ;べし;ゆき,61,32
1088,思,601d,1-27-55,,,61;102,2.0,9,132.0,3.0,si1;sai1;sa;사;Tư;Tứ;Tai;シ;おも.う;おもえら.く;おぼ.す,think,,61,102
1089,指,6307,1-27-56,,,64,3.0,9,155.0,2.0,zhi3;zhi1;ji;지;Chỉ;シ;ゆび;さ.す;-さ.し,finger;point to;indicate;put into;play (chess);measure (ruler),い;いぶ;さし;さす,64,
1095,枝,679d,1-27-62,,,75,5.0,8,1401.0,2.0,zhi1;qi2;ji;지;Chi;Kỳ;シ;えだ,bough;branch;twig;limb;counter for branches,え;ぐさ,75,
1102,糸,7cf8,1-27-69,,,120,1.0,6,1488.0,2.0,mi4;sa;사;Mịch;シ;いと,thread,,120,
1103,紙,7d19,1-27-70,,,120,2.0,10,559.0,3.0,zhi3;ji;지;Chỉ;シ;かみ,paper,,120,
1104,紫,7d2b,1-27-71,,,120,8.0,12,1516.0,1.0,zi3;ja;자;Tử;シ;むらさき,purple;violet,さい;ゆかり,120,
1105,肢,80a2,1-27-72,,,130,8.0,8,2289.0,1.0,zhi1;ji;지;Chi;シ,limb;arms & legs,,130,
1106,脂,8102,1-27-73,,,130,8.0,10,1548.0,2.0,zhi1;ji;지;Chi;シ;あぶら,fat;grease;tallow;lard;rosin;gum;tar,,130,
1109,詞,8a5e,1-27-76,,,149,6.0,12,1636.0,2.0,ci2;sa;사;Từ;シ;ことば,part of speech;words;poetry,,149,
1110,詩,8a69,1-27-77,,,149,3.0,13,1196.0,1.0,shi1;si;시;Thi;シ;うた,poem;poetry,,149,
